"","V1","V2"
"1",1,25
"2",1,52
"3",1,58
"4",1,70
"5",1,87
"6",1,92
"7",1,96
"8",1,100
"9",1,110
"10",1,127
"11",1,151
"12",1,161
"13",1,174
"14",2,52
"15",2,100
"16",2,134
"17",2,190
"18",5,204
"19",8,30
"20",8,104
"21",8,160
"22",9,19
"23",9,54
"24",9,115
"25",9,205
"26",11,44
"27",11,74
"28",13,61
"29",13,153
"30",14,182
"31",15,22
"32",15,55
"33",15,76
"34",15,189
"35",16,40
"36",16,140
"37",17,122
"38",18,63
"39",18,129
"40",18,158
"41",18,195
"42",21,59
"43",21,102
"44",21,140
"45",22,55
"46",22,64
"47",22,76
"48",22,123
"49",22,189
"50",23,36
"51",25,43
"52",25,60
"53",25,77
"54",25,87
"55",25,92
"56",25,147
"57",27,68
"58",27,93
"59",29,51
"60",29,55
"61",30,54
"62",30,104
"63",30,160
"64",31,114
"65",31,185
"66",32,178
"67",33,140
"68",34,187
"69",34,200
"70",36,97
"71",36,167
"72",38,155
"73",43,60
"74",43,77
"75",44,74
"76",44,136
"77",47,74
"78",47,79
"79",47,102
"80",47,105
"81",47,139
"82",47,153
"83",47,189
"84",47,191
"85",47,201
"86",51,55
"87",51,61
"88",52,127
"89",52,190
"90",53,83
"91",53,136
"92",54,115
"93",55,61
"94",55,66
"95",55,86
"96",55,123
"97",55,157
"98",56,71
"99",56,129
"100",57,133
"101",58,149
"102",59,65
"103",59,104
"104",63,198
"105",64,66
"106",64,123
"107",64,139
"108",64,157
"109",65,104
"110",66,82
"111",66,157
"112",70,158
"113",70,195
"114",74,136
"115",74,176
"116",75,187
"117",75,204
"118",78,137
"119",79,99
"120",79,108
"121",79,164
"122",79,173
"123",81,131
"124",83,136
"125",87,88
"126",87,92
"127",87,96
"128",87,110
"129",87,127
"130",87,156
"131",87,179
"132",87,183
"133",88,183
"134",89,111
"135",89,131
"136",90,117
"137",91,187
"138",92,110
"139",96,100
"140",96,110
"141",96,137
"142",96,150
"143",96,179
"144",98,192
"145",99,164
"146",99,173
"147",100,137
"148",100,150
"149",101,108
"150",102,189
"151",102,201
"152",103,128
"153",103,141
"154",104,160
"155",105,139
"156",108,173
"157",109,121
"158",109,142
"159",110,134
"160",112,185
"161",114,138
"162",114,185
"163",115,144
"164",123,139
"165",123,157
"166",123,178
"167",123,189
"168",124,142
"169",124,160
"170",124,161
"171",125,204
"172",127,150
"173",127,151
"174",129,158
"175",132,150
"176",132,185
"177",134,196
"178",136,202
"179",137,179
"180",138,180
"181",138,185
"182",139,189
"183",139,193
"184",140,160
"185",140,194
"186",142,160
"187",146,192
"188",148,194
"189",149,165
"190",149,186
"191",153,170
"192",158,195
"193",160,166
"194",160,194
"195",161,190
"196",164,173
"197",165,178
"198",165,187
"199",165,199
"200",179,196
"201",181,182
"202",183,190
"203",189,191
