"","Grade","Race","Sex","indeg","outdeg","totdeg","between"
"1","7","Hisp","F","13","13","13","7323.91428571428"
"2","7","Hisp","F","4","4","4","92.0666666666666"
"3","11","NatAm","M","0","0","0","0"
"4","8","Hisp","M","0","0","0","0"
"5","10","White","F","1","1","1","0"
"6","10","Hisp","F","0","0","0","0"
"7","8","NatAm","M","0","0","0","0"
"8","11","NatAm","M","3","3","3","0"
"9","9","White","M","4","4","4","470"
"10","9","NatAm","F","0","0","0","0"
"11","9","Hisp","M","2","2","2","0"
"12","11","Hisp","F","0","0","0","0"
"13","9","Hisp","M","2","2","2","77.25"
"14","11","Hisp","F","1","1","1","0"
"15","8","NatAm","M","4","4","4","185.619047619048"
"16","10","Hisp","F","2","2","2","236"
"17","10","NatAm","M","1","1","1","0"
"18","7","Hisp","F","4","4","4","471"
"19","10","White","M","1","1","1","0"
"20","7","Hisp","M","0","0","0","0"
"21","12","Hisp","M","3","3","3","2802.05238095238"
"22","8","NatAm","M","6","6","6","378.161904761904"
"23","8","Hisp","M","1","1","1","0"
"24","9","NatAm","M","0","0","0","0"
"25","7","White","F","7","7","7","927"
"26","9","Hisp","M","0","0","0","0"
"27","9","Hisp","M","2","2","2","2"
"28","9","NatAm","F","0","0","0","0"
"29","8","NatAm","M","2","2","2","0"
"30","11","NatAm","F","4","4","4","1356"
"31","7","Hisp","M","2","2","2","0"
"32","9","Hisp","M","1","1","1","0"
"33","12","Hisp","F","1","1","1","0"
"34","10","White","F","2","2","2","236"
"35","11","Hisp","M","0","0","0","0"
"36","8","Hisp","M","3","3","3","6"
"37","8","Hisp","M","0","0","0","0"
"38","7","Hisp","M","1","1","1","0"
"39","7","NatAm","M","0","0","0","0"
"40","10","White","F","1","1","1","0"
"41","8","Hisp","F","0","0","0","0"
"42","9","Other","M","0","0","0","0"
"43","7","White","M","3","3","3","1"
"44","12","Hisp","M","3","3","3","4"
"45","9","Hisp","F","0","0","0","0"
"46","10","NatAm","M","0","0","0","0"
"47","10","NatAm","M","9","9","9","3717.9119047619"
"48","8","Hisp","F","0","0","0","0"
"49","8","Hisp","M","0","0","0","0"
"50","8","Hisp","F","0","0","0","0"
"51","8","NatAm","M","3","3","3","4"
"52","7","NatAm","F","4","4","4","108.857142857143"
"53","11","NatAm","M","2","2","2","0"
"54","9","Black","F","3","3","3","1140"
"55","8","NatAm","M","9","9","9","1160.13571428571"
"56","7","NatAm","F","2","2","2","236"
"57","7","Hisp","M","1","1","1","0"
"58","12","Hisp","F","2","2","2","4075.94761904762"
"59","11","Hisp","F","3","3","3","526"
"60","7","Hisp","M","2","2","2","0"
"61","11","NatAm","M","3","3","3","161.183333333333"
"62","10","Hisp","F","0","0","0","0"
"63","7","White","F","2","2","2","236"
"64","8","NatAm","F","5","5","5","234.547619047619"
"65","11","NatAm","M","2","2","2","0"
"66","8","NatAm","F","4","4","4","238.9"
"67","9","Hisp","F","0","0","0","0"
"68","10","Hisp","F","1","1","1","0"
"69","10","Hisp","M","0","0","0","0"
"70","7","NatAm","F","3","3","3","1776"
"71","7","Hisp","M","1","1","1","0"
"72","7","NatAm","M","0","0","0","0"
"73","7","Hisp","F","0","0","0","0"
"74","12","Black","M","5","5","5","1584"
"75","10","NatAm","M","2","2","2","696"
"76","8","Hisp","M","2","2","2","0"
"77","7","NatAm","M","2","2","2","0"
"78","7","NatAm","M","1","1","1","0"
"79","9","NatAm","M","5","5","5","1144"
"80","7","Hisp","M","0","0","0","0"
"81","11","Hisp","M","1","1","1","0"
"82","8","Hisp","F","1","1","1","0"
"83","11","Hisp","M","2","2","2","0"
"84","7","Hisp","M","0","0","0","0"
"85","8","Hisp","F","0","0","0","0"
"86","8","Hisp","F","1","1","1","0"
"87","7","White","F","10","10","10","811.633333333334"
"88","7","Hisp","M","2","2","2","0"
"89","11","White","M","2","2","2","4"
"90","7","NatAm","M","1","1","1","0"
"91","10","Hisp","M","1","1","1","0"
"92","7","NatAm","F","4","4","4","6.66666666666667"
"93","9","Hisp","F","1","1","1","0"
"94","8","NatAm","F","0","0","0","0"
"95","7","Hisp","M","0","0","0","0"
"96","7","NatAm","F","7","7","7","980.933333333333"
"97","8","Hisp","M","1","1","1","0"
"98","9","NatAm","F","1","1","1","0"
"99","9","NatAm","F","3","3","3","0"
"100","7","Hisp","F","5","5","5","795.323809523809"
"101","9","White","F","1","1","1","0"
"102","12","NatAm","F","4","4","4","2776.54047619048"
"103","8","Hisp","M","2","2","2","2"
"104","11","White","F","5","5","5","576"
"105","8","NatAm","F","2","2","2","0"
"106","8","Hisp","M","0","0","0","0"
"107","10","Hisp","M","0","0","0","0"
"108","9","Hisp","F","3","3","3","236"
"109","9","Hisp","M","2","2","2","236"
"110","7","Hisp","F","5","5","5","236.833333333333"
"111","9","Hisp","F","1","1","1","0"
"112","7","Hisp","F","1","1","1","0"
"113","9","NatAm","M","0","0","0","0"
"114","7","NatAm","M","3","3","3","2"
"115","9","Hisp","F","3","3","3","236"
"116","11","NatAm","M","0","0","0","0"
"117","7","NatAm","F","1","1","1","0"
"118","8","Black","F","0","0","0","0"
"119","7","White","M","0","0","0","0"
"120","11","Hisp","M","0","0","0","0"
"121","8","Hisp","M","1","1","1","0"
"122","9","NatAm","M","1","1","1","0"
"123","8","Black","M","7","7","7","4065.05"
"124","11","Hisp","F","3","3","3","3212.05238095238"
"125","7","NatAm","M","1","1","1","0"
"126","12","Hisp","M","0","0","0","0"
"127","7","Hisp","F","5","5","5","595.5"
"128","8","Hisp","M","1","1","1","0"
"129","7","Hisp","F","3","3","3","468"
"130","7","Hisp","F","0","0","0","0"
"131","11","Hisp","M","2","2","2","4"
"132","7","Hisp","M","2","2","2","1356"
"133","7","Hisp","M","1","1","1","0"
"134","7","Hisp","F","3","3","3","85.2666666666667"
"135","9","Hisp","F","0","0","0","0"
"136","11","NatAm","F","5","5","5","700"
"137","7","NatAm","F","4","4","4","238.333333333333"
"138","7","NatAm","F","3","3","3","236"
"139","8","NatAm","F","6","6","6","1295.44523809524"
"140","12","Hisp","F","5","5","5","2590.05238095238"
"141","8","White","M","1","1","1","0"
"142","9","Hisp","F","3","3","3","468"
"143","9","Hisp","M","0","0","0","0"
